29;J0024-7204X;305.877;-44.952;209.576695;-8.065e-16;-999;-999;24.54;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;6.67e+33;3.03e+32;2.79e+08;2.58e+04;
30;J0024-7204Y;305.903;-44.891;455.237178;7.289e-15;-2.110e-26;-999;24.47;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-nan;-999;
31;J0024-7204Z;305.894;-44.887;219.565606;2.190e-16;8.000e-27;-999;24.45;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-nan;-999;
32;J0026+6320;120.176;0.593;3.141120;-1.486e-15;-999;-999;245.06;-999;-999;8.100;-999;-999;1.00;-999;-999;-999;4.38e+01;1.84e+32;4.20e+30;-999;6.44e+01;
33;J0030+0451;113.141;-57.611;205.530699;-4.298e-16;-999;-999;4.34;-999;1.17;-999;-999;7.90;0.60;HE;-999;8.33e-01;6.32e-02;3.49e+33;3.31e+34;2.23e+08;1.83e+04;
34;J0033+57;120.410;-5.781;3.174603;-999;-999;-999;76.00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
35;J0033+61;120.698;-1.792;1.096491;-999;-999;-999;37.00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
36;J0034-0534;111.492;-68.069;532.713430;-1.409e-15;-999;-999;13.77;-999;-38.00;0.650;0.980;24.00;0.61;HE;-999;4.37e+01;1.11e+00;2.96e+34;1.63e+34;8.83e+07;1.38e+05;
37;J0034-0721;110.420;-69.815;1.060500;-4.591e-16;2.100e-28;-999;10.92;-999;9.89;37.700;104.500;52.00;11.10;-999;-999;5.52e+01;1.18e+01;1.92e+31;1.81e+31;6.27e+11;7.02e+00;
38;J0034+69;121.411;6.896;27.170871;-999;-999;-999;80.00;-999;-999;-999;-999;4.50;-999;-999;-999;2.34e+01;-999;-999;-999;-999;-999;
39;J0038-2501;67.413;-86.354;3.892164;-1.151e-17;-999;-999;5.71;-999;-999;-999;15.000;3.70;-999;-999;-999;1.33e+00;-999;1.77e+30;4.91e+30;-999;7.82e+00;
40;J0039+35;120.121;-27.054;1.863238;-999;-999;-999;53.04;-999;-999;11.000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
41;J0040+5716;121.452;-5.567;0.894274;-2.302e-15;-1.200e-28;-999;92.51;-999;15.30;12.200;24.400;7.50;0.60;-999;-999;4.39e+01;3.51e+00;8.13e+31;1.39e+31;1.82e+12;1.22e+01;
42;J0043-73;303.737;-43.932;1.066747;-999;-999;-999;115.10;-999;-999;-999;-999;-999;0.05;-999;-999;-999;2.94e+01;-999;-999;-999;-999;
43;J0045-7042;303.652;-46.418;1.581438;-6.227e-15;-999;-999;70.00;-999;-999;19.000;-999;-999;0.11;-999;-999;-999;3.92e+02;3.89e+32;1.09e+29;-999;4.71e+01;
44;J0045-7319;303.514;-43.804;1.079592;-5.202e-15;8.200e-25;-999;105.40;-999;-14.00;20.000;220.000;1.00;0.30;-999;-999;3.56e+03;1.07e+03;2.22e+32;6.22e+28;-999;2.43e+01;
45;J0048+3412;122.255;-28.666;0.821629;-1.589e-15;-1.000e-27;-999;39.92;-999;-83.30;21.700;31.500;2.30;-999;-999;-999;4.66e+01;-999;5.16e+31;2.55e+30;-999;8.91e+00;
46;J0050+03;122.485;-59.071;0.731764;-999;-999;-999;26.50;-999;-999;33.000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
47;J0051+0423;122.962;-58.491;2.819031;-5.563e-17;-999;-999;13.90;-999;-999;25.600;-999;3.00;0.50;-999;-999;4.69e+00;7.81e-01;6.19e+30;3.96e+30;-999;1.06e+01;
48;J0052-72;302.820;-45.045;5.223451;-999;-999;-999;158.60;-999;-999;-999;-999;-999;0.04;-999;-999;-999;2.44e+01;-999;-999;-999;-999;
49;J0054+66;123.193;3.130;0.719424;-999;-999;-999;15.00;-999;-999;-999;-999;-999;-999;RRAT;-999;-999;-999;-999;-999;-999;-999;
50;J0054+69;123.200;6.563;-999;-999;-999;-999;90.30;-999;-999;-999;-999;-999;-999;RRAT;-999;-999;-999;-999;-999;-999;-999;
51;J0054+6946;123.241;6.902;1.200608;-1.037e-15;-999;-999;116.52;-999;-999;-999;-999;30.50;-999;-999;-999;2.32e+02;-999;4.92e+31;6.45e+30;-999;1.27e+01;
52;J0055+5117;123.621;-11.576;0.472775;-2.132e-15;7.800e-28;-999;44.01;-999;-64.09;73.000;92.100;3.40;1.50;-999;-999;2.78e+01;1.22e+01;3.98e+31;4.87e+30;4.54e+12;4.50e+00;
53;J0056+4756;123.796;-14.927;2.118480;-1.494e-14;-2.700e-26;-999;18.14;-999;-34.16;11.800;31.300;3.00;-999;-999;-999;3.76e+00;-999;1.25e+33;9.96e+32;-999;1.13e+02;
54;J0057-7201;302.244;-45.098;1.354899;-1.836e-16;-999;-999;27.00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;9.82e+30;8.11e+29;-999;6.41e+00;
55;J0058+4950;124.045;-13.017;1.003992;-8.100e-16;-999;-999;66.95;-999;-999;-999;-999;5.60;-999;-999;-999;3.93e+01;-999;3.21e+31;4.57e+30;-999;8.59e+00;
56;J0058+6125;123.717;-1.445;1.569859;-999;-999;-999;129.00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
57;J0059+69;123.629;7.056;0.872676;-999;-999;-999;63.53;-999;-999;23.000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
58;J0100-7211;301.930;-44.918;0.124682;-2.923e-13;-999;-999;-999;-999;-999;-999;-999;-999;-999;AXP,NRAD;-999;-999;-999;1.44e+33;4.04e+29;-999;7.14e+00;
59;J0100+80;123.321;17.502;0.669523;-999;-999;-999;55.76;-999;-999;60.000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
60;J0101-6422;301.192;-52.720;388.628426;-7.793e-16;-999;-999;11.93;-999;-999;-999;-999;-999;0.28;HE;-999;-999;2.80e-01;1.20e+34;1.20e+34;9.79e+07;6.42e+04;
